"campaignid","sample","family","genus","species"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB568","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB571","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB575","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB556","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB548","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB548","Labridae","Anampses","sp10"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB563","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB592","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB577","Blenniidae","Unknown","sp1"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB577","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB564","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB550","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB595","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB539","Blenniidae","Ecsenius","sp10"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB543","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB597","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB554","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB566","Blenniidae","Unknown","sp1"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB566","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB557","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB573","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB598","Blenniidae","Ecsenius","sp1"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB598","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB578","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB565","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB572","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB596","Blenniidae","Cirripectes","sp10"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Scaridae","Scarus","sp3"
"2015-01_Montebello.transect_stereoBRUVs","NCB640","Gobiidae","Amblyeleotris","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB719","Gobiidae","Amblyeleotris","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB625","Scaridae","Scarus","sp3"
"2015-01_Montebello.transect_stereoBRUVs","NCB712","Gobiidae","Unknown","sp1"
"2015-01_Montebello.transect_stereoBRUVs","NCB621","Scaridae","Scarus","sp3"
"2015-01_Montebello.transect_stereoBRUVs","NCB671","Carangidae","Unknown","sp1"
"2015-01_Montebello.transect_stereoBRUVs","NCB635","Scaridae","Scarus","sp3"
"2015-01_Montebello.transect_stereoBRUVs","NCB610","Clupeidae","Unknown","sp1"
"2015-01_Montebello.transect_stereoBRUVs","NCB624","Scaridae","Scarus","sp3"
"2015-01_Montebello.transect_stereoBRUVs","NCB612","Gobiidae","Unknown","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB711","Scaridae","Scarus","sp2"
"2015-01_Montebello.transect_stereoBRUVs","NCB613","Serranidae","Unknown","sp1"
"2015-01_Montebello.transect_stereoBRUVs","NCB613","Apogonidae","Ostorhinchus","sp3"
"2015-01_Montebello.transect_stereoBRUVs","NCB723","Scaridae","Scarus","sp3"
"2015-01_Montebello.transect_stereoBRUVs","NCB656","Scaridae","Scarus","sp3"
"2015-01_Montebello.transect_stereoBRUVs","NCB629","Scaridae","Scarus","sp3"
"2015-01_Montebello.transect_stereoBRUVs","NCB629","Blenniidae","Ecsenius","sp1"
"2015-01_Montebello.transect_stereoBRUVs","NCB645","Gobiidae","Amblyeleotris","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB645","Atherinidae","Unknown","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB708","Pomacentridae","Unknown","sp1"
"2015-01_Montebello.transect_stereoBRUVs","NCB623","Scaridae","Scarus","sp3"
"2015-01_Montebello.transect_stereoBRUVs","NCB709","Scaridae","Scarus","sp1"
"2015-01_Montebello.transect_stereoBRUVs","NCB657","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Carangidae","Unknown","sp10"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB585","Gobiidae","Unknown","sp10"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB549","Blenniidae","Ecsenius","sp1"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB600","Blenniidae","Ecsenius","sp1"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB595","Holocentridae","Sargocentron","sp1"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB595","Labridae","Unknown","sp10"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB590","Carangidae","Unknown","sp10"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB583","Gobiidae","Amblyeleotris","sp1"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB555","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB566","Gobiidae","Unknown","sp1"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB546","Ephippidae","Platax","sp10"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB596","Blenniidae","Unknown","sp10"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB596","Labridae","Halichoeres","sp1"
"2015-01_Montebello.transect_stereoBRUVs","NCB631","Gobiidae","Unknown","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB640","Microdesmidae","Unknown","sp1"
"2015-01_Montebello.transect_stereoBRUVs","NCB659","Hydrophiidae","Aipysurus","laevis"
"2015-01_Montebello.transect_stereoBRUVs","NCB649","Gobiidae","Unknown","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB630","Hydrophiidae","Aipysurus","laevis"
"2015-01_Montebello.transect_stereoBRUVs","NCB621","Ephippidae","Platax","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB705","Hydrophiidae","Aipysurus","tenuis"
"2015-01_Montebello.transect_stereoBRUVs","NCB622","Hydrophiidae","Aipysurus","laevis"
"2015-01_Montebello.transect_stereoBRUVs","NCB654","Gobiidae","Unknown","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB654","Blenniidae","Unknown","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB654","Labridae","Cirrhilabrus","sp1"
"2015-01_Montebello.transect_stereoBRUVs","NCB635","Hydrophiidae","Aipysurus","tenuis"
"2015-01_Montebello.transect_stereoBRUVs","NCB635","Hydrophiidae","Aipysurus","laevis"
"2015-01_Montebello.transect_stereoBRUVs","NCB666","Atherinidae","Unknown","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB666","Apogonidae","Ostorhinchus","sp2"
"2015-01_Montebello.transect_stereoBRUVs","NCB613","Hydrophiidae","Aipysurus","tenuis"
"2015-01_Montebello.transect_stereoBRUVs","NCB634","Scaridae","Scarus","sp3"
"2015-01_Montebello.transect_stereoBRUVs","NCB634","Hydrophiidae","Aipysurus","laevis"
"2015-01_Montebello.transect_stereoBRUVs","NCB686","Gobiidae","Unknown","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB686","Hydrophiidae","Aipysurus","laevis"
"2015-01_Montebello.transect_stereoBRUVs","NCB614","Hydrophiidae","Aipysurus","laevis"
"2015-01_Montebello.transect_stereoBRUVs","NCB636","Atherinidae","Unknown","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB725","Gobiidae","Amblyeleotris","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB664","Hydrophiidae","Aipysurus","laevis"
"2015-01_Montebello.transect_stereoBRUVs","NCB706","Blenniidae","Unknown","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB704","Apogonidae","Ostorhinchus","sp1"
"2015-01_Montebello.transect_stereoBRUVs","NCB704","Hydrophiidae","Aipysurus","tenuis"
"2015-01_Montebello.transect_stereoBRUVs","NCB668","Serranidae","Unknown","sp1"
"2015-01_Montebello.transect_stereoBRUVs","NCB674","Apogonidae","Ostorhinchus","holotaenia"
"2015-01_Montebello.transect_stereoBRUVs","NCB628","Hydrophiidae","Aipysurus","laevis"
"2015-01_Montebello.transect_stereoBRUVs","NCB665","Microdesmidae","Unknown","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB665","Pinguipedidae","Parapercis","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB633","Congridae","Heteroconger","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB708","Gobiidae","Amblyeleotris","sp10"
"2015-01_Montebello.transect_stereoBRUVs","NCB709","Scaridae","Scarus","sp3"
"2015-01_Montebello.transect_stereoBRUVs","NCB657","Hydrophiidae","Aipysurus","laevis"
